대여소 번호,공원유무,유동인구,조사지점거리,지하철거리,대여소 이름
1530,0,5889,128.9519257,0.664,광산사거리
542,0,15831,129.383363,0.036,강변역 4번출구 뒤
3406,1,33726,130.0366014,0.354,세종로공원
3510,0,10398,130.5107131,0.335,중곡SK아파트앞
302,0,33726,130.6745858,0.074,경복궁역 4번출구 뒤
616,0,21675,130.8110399,0.899,서울시립대 앞
387,1,19614,131.4172289,0.374,훈련원공원주차장 앞
1325,0,22353,131.6044627,0.048,상월곡역 4번출구
328,1,275511,131.799714,0.278,탑골공원 앞
1466,0,4200,131.9444265,0.229,두산대림아파트 삼거리
327,0,61656,132.5074748,0.205,낙원상가 옆
483,0,9915,132.6575648,0.07,남산타운아파트 버스정류장
393,0,131124,132.7856137,0.021,동대문역 8번 출구
589,0,25461,134.6082137,0.022,성수역3번출구
324,0,90267,134.7077958,0.281,신세계백화점 본점 앞
379,0,32919,134.7773279,0.017,서울역9번출구
625,0,12903,134.9156897,0.513,답십리초등학교 앞(현대시장 옆)
1542,0,11313,135.7774837,0.06,삼양사거리역
1573,0,14598,135.8658512,0.496,현대성우아파트 옆
158,1,32307,136.1404384,1.891,독립문 어린이 공원
1551,0,7218,136.1928759,0.622,4.19탑 앞
3517,0,41874,137.257406,0.443,용마사거리
3420,0,24594,137.3161959,0.326,성균관대입구사거리(맥도날드)
826,0,46092,138.4510004,0.236,서울역 서부교차로2
1451,0,16788,139.8717925,0.44,중랑세무서
359,0,33354,140.5421689,0.842,원남동사거리
1448,0,44064,140.5530368,0.344,코스트코 상봉점
1752,0,10047,141.0532152,0.228, 창동 주공 4단지 입구 옆
342,1,22422,141.1036378,0.218,대학로 마로니에공원
457,0,18516,141.3604635,0.084,종로꽃시장 입구 옆
807,0,199899,142.3918789,0.028,서울역 12번 출구 앞
347,1,55035,143.7368827,0.018,동대문역사문화공원역 9번출구 앞
1574,0,10911,143.910885,0.366,송중초등학교 옆
445,0,77376,143.920728,0.271,대한상공회의소
344,0,4143,143.9365987,0.411,성균관대 E하우스 앞
368,0,162441,144.5430948,0.256,SK 서린빌딩 앞
857,0,25473,144.5551907,0.337, 현대 안성타워
3405,0,23067,144.9306456,0.311,파크팰리스
346,0,26181,146.7339909,0.18,맥스타일 앞
398,0,19095,147.7565394,0.023,을지로3가역 3번출구
3566,0,25311,147.8569352,0.934,우성4차아파트
1413,0,4200,147.9094789,0.03,봉화산역 5번출구 뒤
1428,0,3228,147.9128285,0.586,원묵고등학교
3547,0,55704,150.3840329,0.011,상왕십리역 6번 출입구
1429,0,12819,150.9459998,0.221,장안중학교
507,0,6753,152.598689,0.467,성수아이에스비즈타워 앞
340,0,52860,154.4669948,0.265,혜화동 로터리
329,0,37179,154.5224594,0.385,청계2가 사거리 옆
848,0,10356,155.2581111,0.042, 삼각지12번 출구
3588,0,24042,155.5528185,0.955,세종대학교(영실관)
371,0,20550,156.5742427,0.043,동대입구역 6번출구 뒤
650,0,8163,157.4371957,0.64,중랑교사거리
470,0,152196,158.3317106,0.019,회현역 7번출구
465,1,8214,159.0559495,1.325,삼청공원 앞
318,0,64776,159.9908066,0.175,광교사거리 남측
477,0,3963,160.833877,0.213,앰배서더 호텔 주변
3501,0,7854,160.8915416,0.434,광진구청 앞
1337,0,17508,161.1517185,0.247,돈암성당 옆
3575,0,43617,161.3599791,0.248,자양사거리 (LG 유플러스)
3112,0,28650,161.5195488,0.169,독립문역 5번 출구
1457,0,984,161.6352326,0.51,동원사거리
336,0,88356,161.9326131,0.154,티마크 호텔 앞
1333,0,13419,163.5100277,0.241,석관초등학교 앞
3509,0,24042,163.5206781,0.696,세종사이버대학교
583,0,13548,165.6483166,0.426,청계천 생태교실 앞
583,0,13548,165.6869158,0.426,청계천 생태교실 앞
375,1,14808,166.2947119,0.249,다산 어린이공원
3555,0,55704,166.5346931,0.332,양지사거리(센트라스APT 115동앞)
820,0,3774,167.6871829,0.378,청파동입구 교차로
1319,0,65307,169.1754507,0.812,종암사거리 분수대
316,0,39477,169.6966755,0.059,종각역 1번출구 앞
1365,0,5949,169.9179286,0.839,선잠단지 앞
1380,0,16626,170.7510065,0.117,월곡역 5번출구 앞
1564,0,22812,170.9380931,0.021,4.19민주묘지역 1번출구
866,0,15765,171.2425814,0.502,브라운스톤 남산아파트
519,0,55704,171.8332129,0.29,양지사거리
543,1,15831,172.7898075,0.111,구의공원(테크노마트 앞)
521,0,46134,173.1920391,0.019,왕십리역 11번 출구 앞
3427,0,28650,173.486656,0.214,인왕산 아이파크 정문
854,0,53223,173.7632045,0.166,HID 유족동지회 앞
3579,0,44040,174.1945601,0.618,광진 캠퍼스시티
1455,0,70458,174.2978054,0.013,상봉역 2번 출구
1353,0,35460,174.5463675,0.325,금호어울림센터힐 내
348,0,32307,174.7306834,0.262,독립문역 사거리
388,0,52860,174.9175114,0.268,동성중학교 앞
552,0,15831,175.1387478,0.275,대림아크로리버 앞
384,0,11205,176.9323475,0.398,종로학원본원
1514,0,51195,177.2026286,0.266,강북구청 사거리 버스정류소 앞
657,0,8910,177.4693861,0.602,동대문롯데캐슬아파트 앞
672,0,10743,177.482866,0.326,대광고등학교
453,0,77913,177.5984762,0.91,종로오가 지하쇼핑센터 14번출구
3581,0,27414,178.2812669,0.04,광진광장
1730,0,1578,179.583759,0.214,도봉산역 교차로 앞
1339,0,12828,180.0928179,0.392,삼성전자서비스 성북센터
520,0,55704,180.3835934,0.042,상왕십리역 4번 출구 앞
383,0,14808,180.4476416,0.053,신당역 12번 출구 뒤
367,0,28650,181.6725888,0.011,독립문역 3-1번출구
1442,0,12819,182.1482724,0.386,(구)신한은행 중랑교지점
1501,0,55326,182.4629949,0.16,미아역 3번 4번 출구 사이
806,0,11835,184.3772744,0.341,전자랜드 본관 앞
326,0,65682,184.5598775,0.033,안국역 5번출구 앞
1526,0,32118,184.7360717,0.493,수유동 채선당앞
590,0,86214,184.861286,0.333,건국대학교 (입학정보관)
828,0,5712,185.3595601,0.002,숙대입구역 8번
1469,0,9273,185.6142359,0.013,먹골역 4번출구
1539,0,22812,186.1680891,0.05,4.19민주묘지역
441,0,32961,186.8022854,0.385,염천교사거리
671,0,14922,186.897142,0.163,대광빌딩
1404,0,2865,188.3719527,0.392,동일로 지하차도
469,0,152196,188.6765526,0.03,회현역 1번출구
3408,0,94959,190.2421966,0.053,종로타워빌딩
660,0,96225,190.4365383,0.165,동의보감타워
1377,0,22353,190.7883453,0.267,한국과학기술연구원 북문
1454,0,7383,191.5306119,0.272,한국전력공사(동대문 중랑지사)
1504,0,11313,192.5992152,0.278,다이소 삼양시장점
1382,0,31662,195.5299425,0.839,월곡래미안아파트 입구
1474,0,8217,195.5745701,0.208,서울중랑우체국
809,0,1326,195.9391276,0.129,한남 유수지 복개주차장
1767,0,8616,197.3954324,1.289,태양중앙교회 앞
428,0,19095,198.0272752,0.204,명보사거리
1367,0,35460,198.1061246,0.325,길음문화복합미디어센터
1375,0,8289,198.1221413,0.414,생명의 전화 종합복지관 앞 교차로
810,0,31008,198.3139634,0.301,이태원지하보도
1565,0,126267,199.4064976,0.258,대한병원앞
1473,0,16788,199.4255085,0.023,중랑역 1번 출구(중화문화복지센터)
1314,0,7578,199.4479643,0.177,정릉꿈에그린1단지 201동 앞
343,0,4143,199.8741496,0.645,예일빌딩(율곡로) 앞
1449,0,70458,200.2641552,0.002,상봉역 1번출구
353,0,50904,200.6512259,0.281,재동초교 앞 삼거리
364,0,14436,200.7046572,0.007,창신역 1번출구 앞
3505,0,14631,200.7143032,0.376,신양초교앞 교차로
525,0,32190,201.6839326,0.313,한양대병원사거리
475,0,26181,202.5251021,0.478,ddp패션몰
602,0,13080,204.6597951,1.31,장안동 사거리
3430,0,5637,205.5706338,3.328,구기치안센터 앞
1327,0,5274,206.9148128,0.014,상월곡역 3번출구
450,0,41502,207.039663,0.954,효자동 삼거리
3536,0,10890,208.7724368,0.882,중앙농협(자양동)
539,0,13119,208.8032594,0.509,군자교교차로
563,0,16059,208.8172756,0.834,성동세무서 건너편
3544,0,32115,209.3412823,0.035,한양대역 3번 출구
1363,0,19845,209.8829598,0.338,보문4교 인근
3508,0,44040,210.4555482,0.565,화양사거리
1351,0,10743,210.933535,0.465,안암2교 옆
614,0,3516,212.0737481,0.22,용두동 사거리
1728,0,7458,212.2563622,0.16,서울북부지방법원
630,0,33093,213.5415053,0.277,동대문구 보건소
663,0,63669,213.6907126,0.025,외대앞역 4번출구
577,0,11835,213.7328308,0.241,광진청소년수련관
481,0,20307,214.7900352,0.01,신당역 10번 출구
805,1,12141,215.5000279,0.394,문배어린이공원 앞
815,0,17322,216.5886905,0.623,LIG강촌아파트 103동앞
369,0,61428,216.8150644,0.417,광화문 시민열린마당
3548,0,17571,216.8824815,0.063,뚝섬역 6번출구
817,0,19755,217.5312558,0.01,삼각지역 4번출구 앞
1412,0,72699,218.0674823,0.15,면목초등학교
1472,0,33012,218.9602794,0.069,영성빌딩(PAT)
636,0,7596,219.3538808,0.667,세종대왕기념관 교차로
1321,0,19290,220.0529291,0.33,국민은행 종암동지점 앞
1462,0,16788,221.3995399,0.184,동부시장 북문 앞
3410,0,159564,222.1404172,0.012,종로3가역 8번출구
561,1,13446,222.2645041,0.025,서울숲역 2번출구 앞
349,0,23067,222.8051049,0.336,사직동주민센터
500,1,27414,224.0068748,0.016,어린이대공원역 3번출구 앞
510,1,13446,225.3930521,0.195,서울숲 남문 버스정류소 옆
863,0,17322,225.4232561,0.202,이촌역2번 출구
613,0,14922,225.8521704,0.068,신설동역 10번출구 앞
3578,0,26979,226.3186242,0.49,중곡동 파크웨이빌딩
1717,0,30849,226.5084212,0.382,시립창동운동장 입구
3563,0,15831,226.6418711,0.602,구의7단지현대아파트
1643,0,9870,227.1885837,0.012,태릉입구역 8번출구
571,1,29361,227.4350329,0.04,어린이대공원역6번출구
1434,0,14055,228.31593,0.592,홈플러스 면목동점
654,1,8976,228.9956429,0.483,전농동 텃골공원
385,0,64776,230.9354875,0.014,종각역 5번출구
818,0,50685,230.9970845,0.274,숙명여대 입구 교차로
811,0,31008,231.4498783,0.103,녹사평역1번출구
1515,0,14598,232.1402127,0.45,송천동 주민센터
1558,0,2697,233.0800459,1.422,강북문화정보도서관
553,0,1839,234.0833675,0.882,중곡 성원APT 앞
3413,0,9051,234.8091348,0.472,종로플레이스
504,0,10890,234.9600036,1.011,신자초교입구교차로
3582,0,27414,235.2779779,0.406,화양동 우체국
1395,0,6561,237.2168014,1.068,레미안장위포레카운티(102동)
538,0,59670,237.4965534,0.023,답십리역 8번출구 앞
1396,0,6561,237.8558555,1.003,레미안장위퍼스트하이(513동)
